num_compra,usuario,nome,Tipo de Mercadoria,Filial,data_compra,valor_compra,Imposto,CPF NA NOTA?
24937847,295,ANDERSON,SPLIT 8501 À 10000,Loja Autazes,06/04/2020 12:25:13,"R$2,582.40",R$116.21,Sim
23600787,331,RAIMUNDO,SPLIT INV 8501À10000,Loja Manicor é ,06/04/2020 14:03:55,"R$1,919.28",R$86.37,Sim
24298956,370,ROSILANE,SPLIT ACIMA DE 30000,Loja Manicor é ,06/04/2020 14:35:14,"R$10,121.04",R$455.45,Sim
23802765,460,SANDRA,SPLIT 10001 À 18000,Loja Manicor é ,06/04/2020 14:59:20,"R$11,724.00",R$527.58,Sim
22559356,538,JAMERSON,SPLIT 18001 À 30000,Loja Manicor é ,06/04/2020 15:32:44,"R$1,157.28",R$52.08,Sim
21863286,606,JEANDERSON,JANELA ATÉ 8500 BTUS,Loja Manicor é ,06/04/2020 16:13:26,R$180.72,R$8.13,Sim
24353666,879,JOSE,JANELA 8501 À 10000,Loja Manicor é ,06/04/2020 16:36:10,R$90.65,R$4.08,Na~o
24751322,1165,ALCEMIR,TANQUINHO/SEMI-AUTOM,Loja Manicor é ,06/04/2020 17:25:44,R$67.67,R$3.05,Na~o
22150663,1311,RALYSON,ARM AÉREO COZ AÇO,Loja Manicor é ,06/04/2020 18:14:44,R$38.11,R$1.71,Na~o
25757358,1510,DAVISON,KIT COZINHA DE AÇO,Loja Manicor é ,06/04/2020 19:13:19,R$94.50,R$4.25,Na~o
22823723,1605,FRANCISLEIA,TABLET,Loja Manicor é ,07/04/2020 08:33:21,R$44.05,R$1.98,Na~o
22559303,1717,LUCILEILA,SYSTEM,Loja Manicor é ,07/04/2020 08:45:03,R$47.33,R$2.13,Na~o
24208091,1818,LUCAS,"TV LED DE 32""",Loja Manicor é ,07/04/2020 08:46:12,"R$2,228.40",R$100.28,Na~o
22805088,1870,DENNYS,SMART MULTISIM LIVRE,Loja Manicor é ,07/04/2020 08:53:15,R$467.88,R$21.05,Na~o
26032513,1906,MILENA,"TV LED DE 48"" À 54""",Loja Manicor é ,07/04/2020 09:02:16,"R$7,004.64",R$315.21,Na~o
26143748,2391,VENDAS,SMARTPHONE LIVRE,Loja Manicor é ,07/04/2020 09:24:28,"R$1,892.58",R$85.17,Na~o
26087144,2517,AUTO,"TV LED DE 40"" À 43""",Loja Manicor é ,07/04/2020 09:26:53,"R$2,388.00",R$107.46,Na~o
25559675,3405,HAROLDO,"TV 4K ATÉ 59""",Loja Manicor é ,07/04/2020 09:41:55,"R$4,804.08",R$216.18,Na~o
25297036,3560,LUIZ,"TV 4K DE 60"" À 69""",Loja Manicor é ,07/04/2020 10:01:35,"R$3,060.00",R$137.70,Na~o
26266467,3888,CLAUDIO,"TV LED DE 21"" À 24""",Loja Manicor é ,07/04/2020 10:11:23,"R$3,714.72",R$167.16,Na~o
24600640,4028,TAYANE,FERRO SECO,Loja Lábrea ,07/04/2020 10:30:56,R$9.06,R$0.41,Na~o
25877300,4232,RISONEIDE,PROCESSADOR ALIMENTO,Loja Manicor é ,07/04/2020 10:53:32,R$65.91,R$2.97,Na~o
24578608,4369,ARLETE,GRILL,Loja Manicor é ,07/04/2020 11:17:51,R$124.57,R$5.61,Na~o
22032331,4456,SIMONE,SANDUICHEIRA,Loja Autazes,07/04/2020 11:43:49,R$22.14,R$1.00,Na~o
24492587,4464,MARIA,CAFETEIRA,Loja Lábrea ,07/04/2020 11:55:57,R$24.43,R$1.10,Na~o
24214387,4491,JESSICA,MIXER,Loja Lábrea ,07/04/2020 12:30:07,R$44.58,R$2.01,Na~o
26043628,4591,KELEN,ASPIRADOR,Loja Lábrea ,07/04/2020 13:00:49,R$300.16,R$13.51,Na~o
22107702,4775,ELLIDA,SALA DE JANTAR 5 PÇS,Loja Lábrea ,07/04/2020 13:30:00,R$17.39,R$0.78,Na~o
22414878,4863,TAINARA,COPA 04 PEÇAS,Loja Manicor é ,07/04/2020 13:37:33,R$352.74,R$15.87,Na~o
25346068,6085,MARCIANA,BICICL ADULTO MASC,Loja Manicor é ,07/04/2020 14:24:20,R$29.08,R$1.31,Na~o
26121464,6750,CLARA,BIC JUVENIL/MOTONETA,Loja Manicor é ,07/04/2020 15:06:47,R$63.51,R$2.86,Na~o
24649790,7245,SYANNE,BIC INFANTIL/CROSS,Loja Manicor é ,07/04/2020 15:11:26,R$32.07,R$1.44,Na~o
23290463,7553,IVANI,BICICL ADULTO FEM,Loja Manicor é ,07/04/2020 17:04:54,R$116.82,R$5.26,Na~o
23717936,7592,ELAINE,FREEZER HORIZONTAL,Loja Manicor é ,07/04/2020 19:12:44,R$35.67,R$1.61,Na~o
24649592,7654,GEORGETE,GELADEIRA 1 PORTA,Loja Manicor é ,08/04/2020 09:03:07,R$51.33,R$2.31,Na~o
22335727,8019,KAROLINE,SECADORA DE ROUPA,Loja Manicor é ,08/04/2020 10:14:08,R$125.86,R$5.66,Na~o
22633345,8031,CRISTIANO,FREEZER VERTICAL,Loja Manicor é ,08/04/2020 10:17:51,R$205.98,R$9.27,Na~o
23717880,8128,DANIEL,GELADEIRA 2P CDF,Loja Manicor é ,08/04/2020 10:33:28,R$267.04,R$12.02,Na~o
23286849,8832,TELMARA,GELADEIRA 2P FF,Loja Manicor é ,08/04/2020 10:45:15,R$174.19,R$7.84,Na~o
26125645,8899,WILDES,FRIGOBAR,Loja Lábrea ,08/04/2020 10:55:43,R$19.84,R$0.89,Na~o
22700148,9174,JANDERSON,TRICICLO,Loja Manicor é ,08/04/2020 11:04:29,R$83.78,R$3.77,Na~o
